game_date,game_pk,bp_batters_faced,bp_strikeouts,bp_walks,bp_swings,bp_whiffs,bp_pitches,team,bp_K_pct,bp_BB_pct,bp_whiff_pct
2025-07-22,777058,16,3,2,38,9,64,ATL,0.1875,0.125,0.23684210526315788
2025-07-23,777041,19,5,1,36,11,76,ATL,0.2631578947368421,0.05263157894736842,0.3055555555555556
2025-07-25,777009,21,2,5,27,4,67,ATL,0.09523809523809523,0.23809523809523808,0.14814814814814814
2025-07-26,776993,18,7,1,33,15,73,ATL,0.3888888888888889,0.05555555555555555,0.45454545454545453
2025-07-27,776981,20,6,1,50,11,98,ATL,0.3,0.05,0.22
2025-07-28,776971,19,2,2,31,7,69,ATL,0.10526315789473684,0.10526315789473684,0.22580645161290322
2025-07-29,776955,19,1,3,36,5,77,ATL,0.05263157894736842,0.15789473684210525,0.1388888888888889
2025-07-30,776936,9,2,0,14,3,34,ATL,0.2222222222222222,0.0,0.21428571428571427
2025-07-31,776928,24,3,2,40,10,79,ATL,0.125,0.08333333333333333,0.25
2025-08-01,776921,5,3,0,17,6,28,ATL,0.6,0.0,0.35294117647058826
2025-08-02,776907,37,6,4,53,12,134,ATL,0.16216216216216217,0.10810810810810811,0.22641509433962265
2025-08-04,776882,13,2,2,17,5,52,ATL,0.15384615384615385,0.15384615384615385,0.29411764705882354
2025-08-05,776869,15,4,3,36,9,77,ATL,0.26666666666666666,0.2,0.25
2025-08-06,776853,18,2,1,33,7,76,ATL,0.1111111111111111,0.05555555555555555,0.21212121212121213
2025-08-07,776842,11,5,0,25,13,44,ATL,0.45454545454545453,0.0,0.52
2025-08-08,776834,12,4,0,21,9,38,ATL,0.3333333333333333,0.0,0.42857142857142855
2025-08-09,776819,16,5,1,38,8,75,ATL,0.3125,0.0625,0.21052631578947367
2025-08-09,778431,10,1,0,17,3,37,ATL,0.1,0.0,0.17647058823529413
2025-08-10,776803,13,2,0,28,8,59,ATL,0.15384615384615385,0.0,0.2857142857142857
2025-08-12,776772,21,2,1,28,4,64,ATL,0.09523809523809523,0.047619047619047616,0.14285714285714285
2025-08-13,776756,28,7,3,47,15,128,ATL,0.25,0.10714285714285714,0.3191489361702128
